,left_ax
23835,-0.3302060999999999
23836,-0.2779333
23837,-0.21635303
23838,-0.15512218
23839,-0.08453264
23840,-0.013443413
23841,0.050673895
23842,0.1111008
23843,0.17589265
23844,0.23006786
23845,0.27662316
23846,0.313347
23847,0.33532137
23848,0.33572385
23849,0.3082124
23850,0.27181563
23851,0.22792052
23852,0.17685394
23853,0.119574726
23854,0.061221823
23855,0.003583217
23856,-0.04528297
23857,-0.08586554
23858,-0.120273635
23859,-0.14938816
23860,-0.15099828
23861,-0.14264633
23862,-0.11098418
23863,-0.05963265
23864,-0.0012671618
23865,0.046628598
23866,0.134551
23867,0.22379799
23868,0.30407402
23869,0.38304013
23870,0.47238803
23871,0.55046016
23872,0.6256044
23873,0.7032898
23874,0.7774618000000001
23875,0.8379388000000001
23876,0.87325823
23877,0.8768809999999999
23878,0.8873452
23879,0.89721996
23880,0.90795654
23881,0.9252613
23882,0.957456
23883,0.97717524
23884,0.9826358
23885,1.0060027
23886,1.1013171999999998
23887,1.2513324
23888,1.1543232
23889,1.1214725
23890,0.4232645
23891,0.892018
23892,1.9676019
23893,1.2321628
23894,-0.25080597
23895,0.5680343000000001
23896,0.5390111
23897,0.26189482
23898,0.3516315
23899,0.2559265
23900,0.7924395000000001
23901,-0.47959173
23902,-0.9660003
23903,-1.0090781
23904,-1.6386652
23905,-2.363618
23906,0.5519141
23907,0.20602219
23908,-0.60182184
23909,-0.8897338
23910,-1.251091
23911,-1.2281521999999998
23912,-0.73828226
23913,-0.2084188
23914,0.33201092
23915,0.82186824
23916,1.1132314
23917,1.2810677
23918,1.0167698
23919,0.41460434
23920,-0.14401843
23921,-0.37165093
23922,-0.39257747
23923,-0.012899439
23924,0.16695277
23925,0.2580893
23926,0.3679174000000001
23927,0.53978074
23928,0.6182654000000001
23929,0.51767486
23930,0.3440707
23931,0.18691196
23932,0.08950532
23933,0.044386126
23934,0.004948993
23935,-0.04960096
23936,-0.072951004
23937,-0.050340492
23938,0.008695374
23939,0.05689631
23940,0.03692892
23941,-0.010878575
23942,-0.071080185
23943,-0.12625153
23944,-0.15649807
23945,-0.17004387
23946,-0.14406861
23947,-0.14211604
23948,-0.1691256
23949,-0.20647733
23950,-0.26543385
23951,-0.34661135
23952,-0.39047882
23953,-0.39007935
23954,-0.35775265
23955,-0.321104
23956,-0.27688557
23957,-0.21382916
23958,-0.14969443
23959,-0.09820853
23960,-0.07302948
23961,-0.1152605
23962,-0.13622238
23963,-0.14120144
23964,-0.1559698
23965,-0.18154441
23966,-0.1596349
23967,-0.12607649
23968,-0.1388203999999999
23969,-0.16857141
23970,-0.18936388
23971,-0.19775167
23972,-0.3491459
23973,-0.38066068
23974,-0.37134853
23975,-0.16958953
23976,0.24079104
23977,0.35632873
23978,0.22925383
23979,-0.046001766
23980,-0.29125595
23981,-0.3701165
23982,-0.24072433
23983,-0.13850613
23984,-0.10777711
23985,-0.2030571
23986,-0.27425647
23987,-0.21086927
23988,-0.06494269
23989,-0.029121488
23990,-0.04578561
23991,-0.07722255
23992,-0.11495792
23993,-0.15515932
23994,-0.16401286
23995,-0.13578111
23996,-0.10440655
23997,-0.045350723
23998,-0.005280776
23999,-0.051568456
24000,-0.010917435
24001,-0.013488077
24002,-0.026155656
24003,-0.009219506
24004,0.056685943
24005,0.15555644
24006,0.1784976
24007,0.13901828
24008,0.08061923
24009,0.0068769725
24010,-0.079645485
24011,-0.14524221
24012,-0.1900553
24013,-0.180004
24014,-0.14706422
24015,-0.12688906
24016,-0.14087658
24017,-0.1513412
24018,-0.18420668
24019,-0.3155668
24020,-0.3905248
24021,-0.36496744
24022,-0.3500753
24023,-0.4076294
24024,-0.3481841
24025,-0.2588521
24026,-0.23132643
24027,-0.32641074
24028,-0.539728
24029,-0.5344956999999999
24030,-0.6582634
24031,-0.8290939
24032,-0.97647136
24033,-1.0288305
24034,-0.86703503
24035,-1.0010545
24036,-1.1072438
24037,-1.1002945
24038,-1.0152149
24039,-0.96228707
24040,-0.9449802
24041,-0.9304893
24042,-0.87240785
24043,-0.76711386
24044,-0.6244006999999999
24045,-0.458841
24046,-0.28861147
24047,-0.25701496
24048,0.07219658
24049,0.40564823
24050,0.41227865
24051,0.48432192
24052,0.6477915
24053,0.72425985
24054,0.7127813000000001
24055,0.6259709
24056,0.48821536
24057,0.3686772
24058,0.28645363
24059,0.18458387
24060,0.048373867
24061,-0.11668527
24062,-0.28858092
24063,-0.43828633
24064,-0.561046
24065,-0.65694416
24066,-0.72988874
24067,-0.78582776
24068,-0.8305036
24069,-0.85610515
24070,-0.88364255
24071,-0.9041168
24072,-0.91339517
24073,-0.91299266
24074,-0.9125902
24075,-0.9092098
24076,-0.9027195
24077,-0.8916503
24078,-0.8777412
24079,-0.8651450999999999
24080,-0.85105664
24081,-0.8352335999999999
24082,-0.81416607
24083,-0.7886609
24084,-0.76124936
24085,-0.7351281999999999
24086,-0.71218705
24087,-0.69890684
24088,-0.68354714
24089,-0.6654849
24090,-0.6467394000000001
24091,-0.62058127
24092,-0.5875375
24093,-0.5475977
24094,-0.50534004
